timestamp,raw_marlin
"2026-05-18T10:32:46.011Z","ok"
"2026-05-18T10:32:51.238Z","ok T:245.00 /245.00 B:85.00 /85.00 @:107 B@:48"
"2026-05-18T10:32:51.240Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:32:51.247Z","ok"
"2026-05-18T10:32:56.726Z","ok T:245.00 /245.00 B:84.98 /85.00 @:105 B@:52"
"2026-05-18T10:32:56.730Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:32:56.735Z","ok"
"2026-05-18T10:33:02.477Z","ok T:244.61 /245.00 B:85.00 /85.00 @:114 B@:48"
"2026-05-18T10:33:02.481Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:33:02.487Z","ok"
"2026-05-18T10:33:07.542Z","ok T:244.45 /245.00 B:85.01 /85.00 @:118 B@:45"
"2026-05-18T10:33:07.545Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:33:07.551Z","ok"
"2026-05-18T10:33:12.709Z","ok T:245.00 /245.00 B:85.00 /85.00 @:106 B@:48"
"2026-05-18T10:33:12.738Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:33:12.754Z","ok"
"2026-05-18T10:33:18.239Z","ok T:245.08 /245.00 B:84.99 /85.00 @:106 B@:50"
"2026-05-18T10:33:18.240Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:33:18.244Z","ok"
"2026-05-18T10:33:23.572Z","ok T:245.00 /245.00 B:85.00 /85.00 @:108 B@:48"
"2026-05-18T10:33:23.573Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:33:23.575Z","ok"
"2026-05-18T10:33:28.636Z","ok T:245.00 /245.00 B:85.00 /85.00 @:107 B@:48"
"2026-05-18T10:33:28.638Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:33:28.642Z","ok"
"2026-05-18T10:33:33.765Z","ok T:245.00 /245.00 B:84.99 /85.00 @:106 B@:50"
"2026-05-18T10:33:33.774Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:33:33.778Z","ok"
"2026-05-18T10:33:38.619Z","ok T:245.00 /245.00 B:85.00 /85.00 @:106 B@:48"
"2026-05-18T10:33:38.622Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:33:38.626Z","ok"
